1972	7352	0.99
159	159	0.99
4865	4865	0.99
5849	2232	0.98
5475	8520	0.98
8520	5475	0.98
4731	944	0.98
8308	2564	0.98
7174	7176	0.98
7656	7656	0.98
4423	4423	0.98
5251	6324	0.98
3026	5984	0.98
7656	2667	0.98
6094	1905	0.98
2564	8308	0.98
5405	4641	0.98
5112	5837	0.98
7176	7174	0.98
4641	5405	0.98
2667	7656	0.98
2383	251	0.98
7352	7352	0.98
5985	3026	0.98
2232	5849	0.98
8640	8640	0.98
4895	4895	0.98
5984	3026	0.98
5837	5112	0.98
1905	6094	0.98
4852	3030	0.98
6324	5251	0.98
2046	4849	0.98
3026	5985	0.98
944	4731	0.98
251	2383	0.98
5265	5351	0.97
1134	3024	0.97
5351	5265	0.97
851	850	0.97
5405	2801	0.97
1404	779	0.97
5327	1741	0.97
852	7656	0.97
2208	4064	0.97
92	85	0.97
5752	4216	0.97
6277	6278	0.97
2506	5746	0.97
4216	5752	0.97
5746	2506	0.97
2928	1010	0.97
6858	8570	0.97
2928	4917	0.97
85	92	0.97
6324	1494	0.97
4917	2928	0.97
7738	454	0.97
6716	3024	0.97
3980	4383	0.97
8365	7352	0.97
6767	7352	0.97
3271	7174	0.97
8374	6826	0.97
850	851	0.97
961	6716	0.97
1905	4704	0.97
1010	2928	0.97
3024	6716	0.97
454	7738	0.97
3031	3623	0.97
6716	961	0.97
6278	6277	0.97
779	1404	0.97
6826	8374	0.97
3024	1134	0.97
7352	8365	0.97
6741	3786	0.97
3623	3031	0.97
4064	2208	0.97
2667	852	0.97
1415	7091	0.97
3826	6172	0.97
1494	6324	0.97
4383	3980	0.97
1428	7961	0.97
7961	1428	0.97
7176	7077	0.97
1318	8336	0.97
7352	6767	0.97
680	680	0.97
555	8163	0.97
1741	5327	0.97
7656	852	0.97
7174	3271	0.97
4542	3271	0.97
2871	2871	0.97
4469	4469	0.97
7077	7176	0.97
3271	4542	0.97
449	8519	0.97
3024	1208	0.97
6172	3826	0.97
5354	5354	0.97
2801	5405	0.97
8519	449	0.97
1873	1873	0.97
3786	6741	0.97
1208	3024	0.97
1790	4641	0.97
852	2667	0.97
7091	1415	0.97
8570	6858	0.97
681	6395	0.96
7813	5045	0.96
2663	6157	0.96
7829	1231	0.96
2667	2740	0.96
5045	7810	0.96
5045	7813	0.96
8365	1972	0.96
5838	6985	0.96
3355	5832	0.96
5985	3028	0.96
2974	2970	0.96
6767	4702	0.96
7656	8163	0.96
2300	663	0.96
4452	2030	0.96
5112	3741	0.96
7352	3817	0.96
2740	2667	0.96
3741	5112	0.96
7829	8319	0.96
5808	2171	0.96
850	7656	0.96
3790	7352	0.96
663	2300	0.96
5832	3355	0.96
1431	8381	0.96
3036	6552	0.96
1231	7829	0.96
91	85	0.96
8163	7656	0.96
4702	5928	0.96
85	91	0.96
3028	4247	0.96
3641	1468	0.96
5837	1656	0.96
4119	5327	0.96
1468	3641	0.96
3673	5247	0.96
3028	5985	0.96
6659	7091	0.96
7109	7111	0.96
4247	3028	0.96
4247	3026	0.96
5327	4119	0.96
7352	1973	0.96
2970	2974	0.96
3024	1855	0.96
2348	6125	0.96
7352	3790	0.96
7656	4023	0.96
5795	2772	0.96
5713	3023	0.96
4023	7656	0.96
2227	6324	0.96
825	988	0.96
6125	2348	0.96
1656	5837	0.96
6324	2227	0.96
6157	2663	0.96
2802	5357	0.96
3946	5838	0.96
6985	5838	0.96
2171	5808	0.96
4702	6767	0.96
1855	3024	0.96
8319	7829	0.96
8381	1431	0.96
1972	8365	0.96
8640	8641	0.96
4327	2214	0.96
6395	681	0.96
3023	5713	0.96
8641	8640	0.96
3026	4247	0.96
7111	7109	0.96
5475	4216	0.96
1973	7352	0.96
7656	850	0.96
5838	3946	0.96
2030	4452	0.96
5928	4702	0.96
6552	3036	0.96
3817	7352	0.96
7091	6659	0.96
2214	4327	0.96
988	825	0.96
2772	5795	0.96
7810	5045	0.96
5357	2802	0.96
8163	2667	0.96
5247	3673	0.96
4216	5475	0.96
1299	7544	0.95
4216	3586	0.95
2790	4375	0.95
4327	2416	0.95
3980	7721	0.95
302	315	0.95
2416	4327	0.95
3205	7006	0.95
4865	4385	0.95
4228	7619	0.95
135	1741	0.95
934	1656	0.95
2046	6544	0.95
5070	2270	0.95
3917	3945	0.95
3826	5351	0.95
5351	3826	0.95
804	4441	0.95
7077	3271	0.95
6544	2046	0.95
6713	2008	0.95
163	3980	0.95
3786	3980	0.95
6324	1523	0.95
3980	163	0.95
5120	1404	0.95
4216	8520	0.95
3945	3917	0.95
1741	135	0.95
4441	804	0.95
8197	3167	0.95
7179	8205	0.95
4849	3352	0.95
5258	5259	0.95
315	302	0.95
4957	8374	0.95
2986	1364	0.95
4385	4865	0.95
8321	4907	0.95
585	6238	0.95
3203	1364	0.95
3001	3002	0.95
3473	1017	0.95
1404	5120	0.95
1364	2986	0.95
3586	4216	0.95
6208	3473	0.95
3980	3786	0.95
5557	2506	0.95
2008	6713	0.95
6238	585	0.95
3357	5559	0.95
5116	3026	0.95
1017	3473	0.95
7619	4228	0.95
7805	5327	0.95
2270	5070	0.95
2506	5557	0.95
7383	4663	0.95
4663	7383	0.95
4907	8321	0.95
3167	8197	0.95
3352	4849	0.95
3026	5116	0.95
5559	3357	0.95
8374	4957	0.95
5327	7805	0.95
1364	3203	0.95
5985	6716	0.95
5259	5258	0.95
7721	3980	0.95
1523	6324	0.95
3294	3294	0.95
7544	1299	0.95
3002	3001	0.95
1656	934	0.95
8205	7179	0.95
7006	3205	0.95
4375	2790	0.95
3271	7077	0.95
6716	5985	0.95
8520	4216	0.95
3473	6208	0.95
5314	5318	0.94
680	2761	0.94
6716	5984	0.94
7713	2383	0.94
2046	4323	0.94
7174	7077	0.94
4327	8163	0.94
3040	3167	0.94
2761	804	0.94
2506	3002	0.94
8107	2008	0.94
2148	4757	0.94
5752	2740	0.94
5022	3473	0.94
1802	4397	0.94
5966	1415	0.94
363	4731	0.94
3167	3040	0.94
804	2761	0.94
5118	3026	0.94
4815	3078	0.94
3228	4813	0.94
1415	5966	0.94
1301	1300	0.94
4323	2046	0.94
6443	3357	0.94
4498	2383	0.94
3521	3521	0.94
5276	5276	0.94
7006	6713	0.94
2008	8107	0.94
3859	6651	0.94
5351	6172	0.94
3104	2823	0.94
4731	363	0.94
2575	3579	0.94
4757	2148	0.94
5984	6716	0.94
5318	5314	0.94
680	1523	0.94
7077	7174	0.94
850	850	0.94
3980	6741	0.94
555	4432	0.94
6693	3980	0.94
5101	5102	0.94
4813	3228	0.94
2667	4432	0.94
3002	2506	0.94
3473	5022	0.94
6651	3859	0.94
3357	6443	0.94
4432	2667	0.94
1523	680	0.94
6172	5351	0.94
3078	4815	0.94
3579	2575	0.94
4432	555	0.94
4255	8211	0.94
2761	680	0.94
3002	2936	0.94
2740	5752	0.94
3004	3009	0.94
6562	6562	0.94
2383	7713	0.94
3009	3004	0.94
3026	5118	0.94
8211	4255	0.94
6741	3980	0.94
5102	5101	0.94
8163	4327	0.94
1134	1208	0.94
2383	4498	0.94
6713	7006	0.94
3980	6693	0.94
253	6299	0.94
2823	3104	0.94
1300	1301	0.94
4397	1802	0.94
1208	1134	0.94
2936	3002	0.94
6299	253	0.94
3868	1438	0.93
2094	2093	0.93
4484	531	0.93
8319	7243	0.93
1972	1973	0.93
5887	5886	0.93
1689	1612	0.93
5357	3147	0.93
2046	1455	0.93
353	5890	0.93
5776	5777	0.93
5966	7091	0.93
15	15	0.93
3591	4216	0.93
2552	3352	0.93
3591	5554	0.93
6858	8569	0.93
972	975	0.93
3147	5357	0.93
2964	8490	0.93
1455	2046	0.93
574	575	0.93
5554	3591	0.93
7819	6267	0.93
5631	4563	0.93
3998	79	0.93
906	1758	0.93
5777	5776	0.93
2824	3104	0.93
1758	906	0.93
2667	313	0.93
4216	3591	0.93
8588	8588	0.93
313	2667	0.93
5559	6443	0.93
2215	3352	0.93
5405	5401	0.93
4721	802	0.93
3352	2552	0.93
1588	5559	0.93
3104	2824	0.93
2059	4641	0.93
1689	455	0.93
7091	5966	0.93
8490	2964	0.93
2936	3980	0.93
1438	3868	0.93
575	574	0.93
4347	7419	0.93
6267	7819	0.93
1612	1689	0.93
3049	848	0.93
975	972	0.93
3352	2215	0.93
3980	2936	0.93
5401	5405	0.93
79	3998	0.93
8569	6858	0.93
3026	5119	0.93
5096	5096	0.93
802	4721	0.93
5559	1588	0.93
2188	8319	0.93
455	1689	0.93
7419	4347	0.93
6570	6570	0.93
5886	5887	0.93
4641	2059	0.93
4563	5631	0.93
2093	2094	0.93
7302	2215	0.93
1973	1972	0.93
7675	7675	0.93
8319	2188	0.93
10	5890	0.93
5119	3026	0.93
531	4484	0.93
5890	353	0.93
2215	7302	0.93
7243	8319	0.93
6443	5559	0.93
848	3049	0.93
4943	3141	0.92
4420	4419	0.92
4308	3380	0.92
4064	8560	0.92
4849	1459	0.92
5109	5103	0.92
8560	4064	0.92
1619	3411	0.92
4813	3077	0.92
2208	6539	0.92
3917	5837	0.92
741	741	0.92
7875	7874	0.92
4327	6537	0.92
8319	8322	0.92
817	251	0.92
8652	2506	0.92
5265	6172	0.92
3077	4813	0.92
7006	7006	0.92
3411	1619	0.92
5068	8224	0.92
3141	4943	0.92
4419	4420	0.92
246	6257	0.92
2457	2800	0.92
6257	246	0.92
251	817	0.92
6172	5265	0.92
6537	4327	0.92
713	3980	0.92
3380	4308	0.92
5559	6444	0.92
8224	5068	0.92
1459	2046	0.92
1459	4849	0.92
1468	1468	0.92
363	798	0.92
5103	5109	0.92
8115	2753	0.92
8170	3859	0.92
3980	713	0.92
6444	5559	0.92
7352	7329	0.92
1854	3024	0.92
2761	1523	0.92
4702	4832	0.92
5947	1688	0.92
2046	1459	0.92
5986	3027	0.92
4832	4702	0.92
798	363	0.92
2506	8652	0.92
2753	8115	0.92
6539	2208	0.92
5251	2227	0.92
1688	5947	0.92
3593	6652	0.92
7874	7875	0.92
4186	1941	0.92
1941	4186	0.92
7656	851	0.92
1430	2084	0.92
8322	8319	0.92
2800	2457	0.92
851	7656	0.92
4327	851	0.92
3859	8170	0.92
3027	5986	0.92
5313	5316	0.92
2084	1430	0.92
5837	3917	0.92
5224	5224	0.92
1523	2761	0.92
2227	5251	0.92
851	4327	0.92
6652	3593	0.92
5316	5313	0.92
7329	7352	0.92
1427	7962	0.91
3404	3002	0.91
1545	1017	0.91
3203	4513	0.91
3028	5118	0.91
85	5753	0.91
3571	4702	0.91
2416	302	0.91
2888	7091	0.91
5475	5475	0.91
6937	961	0.91
6894	6894	0.91
2801	7595	0.91
2667	2030	0.91
4759	4757	0.91
546	971	0.91
5916	4314	0.91
972	974	0.91
961	6937	0.91
85	90	0.91
3747	2115	0.91
7091	2888	0.91
5118	3028	0.91
7237	7352	0.91
974	972	0.91
6716	5986	0.91
2030	2667	0.91
8613	8225	0.91
4702	3571	0.91
8334	3769	0.91
2227	1494	0.91
5837	3741	0.91
302	2416	0.91
4757	4759	0.91
6238	112	0.91
7352	7237	0.91
7595	2801	0.91
1972	3100	0.91
2115	3747	0.91
4872	4872	0.91
2667	357	0.91
8225	8613	0.91
7962	1427	0.91
2467	8115	0.91
3917	5112	0.91
2149	7748	0.91
90	85	0.91
2936	2506	0.91
3100	1972	0.91
1494	2227	0.91
5265	6489	0.91
8115	2467	0.91
1017	1545	0.91
7748	2149	0.91
7010	7010	0.91
3741	5837	0.91
5753	85	0.91
112	6238	0.91
1836	1836	0.91
6489	5265	0.91
3002	3404	0.91
5986	6716	0.91
4314	5916	0.91
3769	8334	0.91
2506	2936	0.91
357	2667	0.91
8277	2457	0.9
7237	1873	0.9
1017	6108	0.9
1751	5430	0.9
6456	1382	0.9
2667	2739	0.9
4815	3080	0.9
4674	4576	0.9
3920	5050	0.9
201	531	0.9
3858	6262	0.9
6108	1017	0.9
2115	4634	0.9
7640	3946	0.9
4634	2115	0.9
5259	6489	0.9
3946	7640	0.9
2712	4320	0.9
6902	4130	0.9
4576	4674	0.9
5554	5556	0.9
97	3024	0.9
4404	2416	0.9
5556	5554	0.9
7179	8204	0.9
7805	8263	0.9
7487	3946	0.9
3421	3421	0.9
3946	7487	0.9
5216	5217	0.9
3080	4815	0.9
2300	3506	0.9
4320	2712	0.9
6209	3473	0.9
5217	5216	0.9
